year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2025,7,YV,Mesa Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",18.00,2.00,1.43,0.00,0.57,0.00,0.00,0.00,0.00,44.00,32.00,0.00,12.00,0.00,0.00
2025,7,YV,Mesa Airlines Inc.,CHS,"Charleston, SC: Charleston AFB/International",48.00,16.00,4.06,3.15,5.49,0.00,3.30,2.00,0.00,1282.00,331.00,438.00,259.00,0.00,254.00
2025,7,YV,Mesa Airlines Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",65.00,10.00,3.53,1.00,3.04,0.00,2.43,2.00,0.00,735.00,151.00,172.00,139.00,0.00,273.00
2025,7,YV,Mesa Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",134.00,31.00,13.19,2.43,10.63,0.00,4.74,8.00,0.00,2264.00,798.00,303.00,702.00,0.00,461.00
2025,7,YV,Mesa Airlines Inc.,CMH,"Columbus, OH: John Glenn Columbus International",61.00,12.00,6.44,0.28,3.59,0.00,1.69,0.00,0.00,630.00,211.00,17.00,123.00,0.00,279.00
2025,7,YV,Mesa Airlines Inc.,COS,"Colorado Springs, CO: City of Colorado Springs Municipal",31.00,5.00,1.84,0.00,1.15,0.00,2.01,0.00,0.00,668.00,154.00,0.00,67.00,0.00,447.00
2025,7,YV,Mesa Airlines Inc.,CRP,"Corpus Christi, TX: Corpus Christi International",19.00,4.00,0.71,0.30,0.70,0.00,2.29,1.00,0.00,823.00,45.00,6.00,14.00,0.00,758.00
2025,7,YV,Mesa Airlines Inc.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",75.00,14.00,7.64,1.00,3.57,0.00,1.79,0.00,0.00,722.00,485.00,24.00,81.00,0.00,132.00
2025,7,YV,Mesa Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",97.00,23.00,8.09,0.73,4.85,0.00,9.33,1.00,0.00,2125.00,655.00,65.00,437.00,0.00,968.00
2025,7,YV,Mesa Airlines Inc.,DRO,"Durango, CO: Durango La Plata County",31.00,1.00,0.82,0.00,0.18,0.00,0.00,0.00,0.00,50.00,41.00,0.00,9.00,0.00,0.00
2025,7,YV,Mesa Airlines Inc.,DSM,"Des Moines, IA: Des Moines International",31.00,4.00,1.59,1.00,0.43,0.00,0.98,0.00,0.00,187.00,32.00,51.00,10.00,0.00,94.00
2025,7,YV,Mesa Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",148.00,38.00,13.69,2.56,10.66,0.00,11.09,6.00,1.00,3785.00,1253.00,569.00,476.00,0.00,1487.00
