VALID,URGENT,AIRCRAFT,REPORT,ICING,TURBULENCE,ATRCC,PRODUCT_ID,FL,LAT,LON
202008010000,F,E55P,MYNN UA /OV ZQA110020/TM 0000/FL390/TP E55P/SK TOP 390,None,None,None,None,39000,24.885984051005007,-77.10435997593524
202008010001,F,P28A,UA /OV CYQU 015020 /TM 0001 /FL065 /TP P28A /RM FLIGHT VIS 15SM INHZ AT FL065,None,None,None,None,6500,55.501721355453085,-118.73389777311203
202008010003,T,CRJ9,PIH UUA /OV KPIH/TM 0003/FL050/TP CRJ9/RM LLWS +20 KT 1.5 MILE FINAL  THEN -20 KT 0.7 MILE FINAL DURD RY17 PIH,None,None,ZLC,None,5000,42.90981,-112.59592
202008010005,T,CRJ9,PIH UUA /OV PIH/TM 0005/FL100/TP CRJ9/TB LLWS +/-20KTS/RM SFC-100 /ZLC,None,LLWS +,ZLC,None,10000,42.90981,-112.59592
202008010005,F,UNKN,MRF UA /OV MRF /TM 0005 /FLUNKN /TP UNKN /TB NEG,None,NEG,ZAB,None,None,30.37,-104.02
202008010009,F,C750,LOL UA /OV LLC296022 /TM 0009 /FL250 /TP C750 /TB NEG /RM 70 N RYANN INT,None,NEG,ZOA,None,25000,40.28074910679207,-119.01100041086524
202008010013,F,C825,TMK UA /OV AST163040/TM 0013/FL013/TP C825/SK OVC013 TOPS025/RM ..ZSE,None,None,ZSE,None,1300,45.51931185551618,-123.60108781254728
202008010018,F,DA40,PIH UA /OV PIH180020 /TM 0018 /FL095 /TP DA40 /RM DWNDFT LOST 3000FT,None,None,ZLC,None,9500,42.57644966663967,-112.59592
202008010019,F,BE33,MTJ UA /OV MTJ /TM 0019 /FL115 /TP BE33 /SK SKC /WX FV99SM,None,None,ZDV,None,11500,38.505,-107.8975
202008010020,F,C208,ABQ UA /OV ABQ310030/TM 0020/FL130/TP C208/TB MODERATE /RM IN DESCENT TO ABQ,None,MODERATE,ZAB,None,13000,35.36331983776749,-107.08336136603138
202008010022,F,C208,VOK UA /OV VOK/TM 0022/FL040/TP C208/TA 18/TB NEG/IC NEG,NEG,NEG,ZAU,None,4000,43.93924,-90.25316
202008010022,F,LJ35,MWC UA /OV BAE/TM 0022/FL260/TP LJ35/TB NEG,None,NEG,ZAU,None,26000,43.12,-88.28
202008010022,F,CRJ,FWA UA /OV FWA290015/TM 0022/FL164/TP CRJ/TB NEG,None,NEG,ZAU,None,16400,41.063561961746245,-85.49832783310586
202008010022,F,A320,GSH UA /OV GSH/TM 0022/FL360/TP A320/TB NEG,None,NEG,ZAU,None,36000,41.52722,-85.79222
202008010023,F,A321,FWA UA /OV FWA020030/TM 0023/FL340/TP A321/TB OCNL LGT CHOP,None,OCNL LGT CHOP,ZOB,None,34000,41.44793436798216,-84.96059650356264
202008010023,F,C172,SAT UA /OV 15 SW SAT/TM 0023/FLDURD/TP C172/TB LGT-MOD 065-040,None,LGT-MOD 065-040,ZHU,None,None,29.356898985776724,-98.6729726477715
202008010024,F,A320,OKK UA /OV OKK/TM 0024/FL360/TP A320/TB NEG/RM MOSTLY SMOOTH,None,NEG,ZAU,None,36000,40.52818,-86.05899
202008010025,F,B752,DBQ UA /OV DBQ/TM 0025/FL390/TP B752/TB NEG,None,NEG,ZAU,None,39000,42.39835,-90.709143
202008010025,F,B737,SAT UA /OV 17 S SAT/TM 0025/FL040/TP B737/TB MOD 040,None,MOD 040,ZHU,None,4000,29.250333716643716,-98.46978
202008010025,F,BE10,MEM UA /OV MEM/TM 0025/FL220/TP BE10/TA M08/IC LGT MOD/RM ZME,LGT MOD,None,ZME,None,22000,35.06111,-89.985
202008010026,F,A321,CID UA /OV CID030020/TM 0026/FL360/TP A321/TB OCNL LGT CHOP,None,OCNL LGT CHOP,ZAU,None,36000,42.1715975173041,-91.50070923601938
202008010026,F,C172,CNO UA /OV CNO /TM 0026 /FL040 /TP C172 /SK SKC /WX FV99SM,None,None,ZLA,None,4000,33.97528,-117.63611
202008010028,F,C182,3S8 UA /OV 3S8 /TM 0028 /FL115 /TP C182 /SK SKC /WX FV99SM /TA 06 /WV 17028KT /TB NEG,None,NEG,ZSE,None,11500,42.509,-123.3886
202008010030,F,M5,JNU UA /OV JNU-SSR080039 /TM 0030 /FL025 /TP M5 /WX FV99SM /RM SMOOTH (AKFSS,None,None,ZAN,None,2500,58.35,-134.57
202008010030,F,M5,JNU UA /OV JNU-SSR080039 /TM 0030 /FL025 /TP M5 /WX FV99SM /RMSMOOTH (AKFSS),None,None,ZAN,None,2500,58.35,-134.57
202008010033,F,C68A,MWC UA /OV BAE200020/TM 0033/FL410/TP C68A/TB OCNL LGT CHOP,None,OCNL LGT CHOP,ZAU,None,41000,42.806743754678564,-88.43620255261241
202008010035,F,MD83,DLG UA /OV DLG010003 /TM 0035 /FL011 /TP MD83 /SK BKN011 /RM FARY19 (AKFSS),None,None,ZAN,None,1100,59.089244376126,-158.48312121913466
202008010035,F,MD83,DLG UA /OV DLG010003 /TM 0035 /FL011 /TP MD83 /SK BKN011 /RM FA RY19 (AKFSS,None,None,ZAN,None,1100,59.089244376126,-158.48312121913466
202008010037,F,C560,FAR UA /OV FAR180040/TM 0037/FL450/TP C560/SK TOP450,None,None,ZMP,None,45000,46.25855933327934,-96.81111
202008010040,F,PA32,PTH UA /OV PTH /TM 0040 /FL055 /TP PA32 /WX FV10SM /TB NEG /RM FV30SM IN SOME AREAS (AKFSS,None,NEG,ZAN,None,5500,56.95,-158.63
202008010040,F,PA32,PTH UA /OV PTH /TM 0040 /FL055 /TP PA32 /WX FV10SM /TB NEG /RMFV30SM IN SOME AREAS (AKFSS),None,NEG,ZAN,None,5500,56.95,-158.63
202008010042,F,B738,TXK UA /OV KATA211007 /TM 0042 /FL370 /TP B738 /TB CONS LGT /RM ZFW AWC-WEB,None,CONS LGT,ZFW,None,37000,32.99998904801233,-94.26173367543139
202008010042,F,B738,TXK UA /OV KATA211007 /TM 0042 /FL370 /TP B738 /TB CONS LGT /RM ZFW AWC-WEB:,None,CONS LGT,ZFW,None,37000,32.99998904801233,-94.26173367543139
202008010044,F,P28A,CLS UA /OV CLS /TM 0044 /FL025 /TP P28A /SK SKC /WX FV99SM,None,None,ZSE,None,2500,46.6770292,-122.9827472
202008010045,F,B738,TCC UA /OV TCC357059/TM 0045/FL380/TP B738/TB CONS LGT-OCNL MOD CHOP/RM ZAB/FDCS,None,CONS LGT-OCNL MOD CHOP,ZAB,None,38000,36.164845250097315,-103.66616163676052
202008010045,F,PC12,AKN UA /OV AKN050050/TM 0045/FL130/TP PC12/SK TOP136/TA M8/IC MOD MIX/RM DURC ZAN,MOD MIX,None,ZAN,None,13000,59.20569972961249,-155.41218598110393
202008010047,F,CRJ7,GSP UA /OV GSP090020/TM 0047/FL100/TP CRJ7/SK FEW041/WX 10,None,None,ZTL,None,10000,34.88472,-81.81750388150998
202008010050,F,A320,IAH UA /OV 12 E/TM 0050/FL030/TP A320/SK BASES BKN033 TOPS 043,None,None,ZHU,None,3000,29.98443,-95.34144
202008010052,F,B739,PWK UA /OV OBK040015/TM 0052/FL320/TP B739/TB OCNL LGT,None,OCNL LGT,ZAU,None,32000,42.41152662319523,-87.73299161146745
202008010056,F,SF50,SPI UA /OV SPI225025/TM 0056/FL220/TP SF50/TA M13/IC LGT RIME/RM ZKC FDC,LGT RIME,None,ZKC,None,22000,39.550048309627876,-90.06766903995491
